N,DFT,DFT_omp,FFT,FFTW3,cuDFT,cuFFT_basic,cuFFT_shfl,cuFFTW3
8,0.000750,0.000090,0.000021,0.000001,0.000062,0.000023,0.000010,0.000008
9,0.006769,0.006136,0.000164,0.000003,0.000125,0.000065,0.000028,0.000015
10,0.013953,0.006804,0.000210,0.000010,0.000225,0.000028,0.000013,0.000007
11,0.042891,0.011626,0.000227,0.000004,0.000443,0.000026,0.000013,0.000008
12,0.162065,0.023265,0.000581,0.000035,0.000883,0.000032,0.000017,0.000009
13,0.649921,0.093220,0.000924,0.000053,0.001870,0.000045,0.000023,0.000016
14,2.587332,0.352773,0.001858,0.000053,0.004214,0.000041,0.000025,0.000017
15,-1.0,1.369661,0.005264,0.000105,0.013524,0.000058,0.000041,0.000013
16,-1.0,5.411480,0.008253,0.000206,0.050958,0.000091,0.000077,0.000016
17,-1.0,-1.0,0.014364,0.000526,0.207065,0.000229,0.000167,0.000034
18,-1.0,-1.0,0.030609,0.001472,0.834329,0.000826,0.000547,0.000075
19,-1.0,-1.0,0.060033,0.006390,3.305035,0.001747,0.001210,0.000152
20,-1.0,-1.0,0.122819,0.014485,-1.0,0.003932,0.002824,0.000308
21,-1.0,-1.0,0.280628,0.028094,-1.0,0.008070,0.006059,0.000611
22,-1.0,-1.0,0.546673,0.061417,-1.0,0.017523,0.013578,0.001265
23,-1.0,-1.0,1.159204,0.156585,-1.0,0.035753,0.027718,0.003522
24,-1.0,-1.0,2.485718,0.357944,-1.0,0.077014,0.060871,0.007412
25,-1.0,-1.0,-1.0,1.241318,-1.0,0.156462,0.123726,0.015049
26,-1.0,-1.0,-1.0,2.709773,-1.0,0.334454,0.268211,0.030402
